"Food","Food_group","DQQ_food_group","USDA_FDC_ID","Energy_kcal","Carbohydrates","Fiber","Monounsaturated_FAs_g","Polyunsaturated_FAs_g","Unsaturated_FAs_g","Saturated_FAs_g","VitA_RAE_mcg","VitC_mg","VitD_mcg","VitE_mg","Thiamin_mg","Riboflavin_mg","Niacin_mg","VitB6_mg","Folate_DFE_mcg","VitB12_mcg","Choline_mg","Iron_mg","Zinc_mg","Calcium_mg","Potassium_mg","Magnesium_mg","Sodium","DHA_g","EPA_g","DPA_g","ALA_g","His_g","Ile_g","Leu_g","Lys_g","Met_g_SAA","Cys_g_SAA","Phe_g_AAA","Trp_g_AAA","Tyr_g_AAA","Thr_g","Val_g","EAA_quantity","DIAAS","Phytate_mg","Iron_Abs","Zinc_Abs","DQQ_question","Comments","Food_long","Country","Liquids","Dried_Foods","V_E","V_M","V","M_E","M_M","M","N3_E","N3_M","N3","eaa_E","eaa_M","eaa","EAA","F_E","F_M","F","SUR","CFR","NaKR","NR","EMR","NDS","NVS","NVS_100","NVS_100_Cal","Cal_1000"
"Cantaloupe","Fruits","Vitamin A-rich fruits","169092",34,8.16,0.9,0,0.08,0.08,0.05,169,36.7,0,0.05,0.04,0.02,0.73,0.07,21,0,7.6,0.21,0.18,9,267,12,16,0,0,0,0.11,0.02,0.02,0.03,0.03,0.01,0,0.02,0,0.01,0.02,0.03,0.2,48.6666666666667,20,0.1,0.44,"Q8","","Melons, cantaloupe, raw","Indonesia",0,0,46.6179444126706,23.587611694289,36.9339761866596,28.1397469218259,6.87172562418068,19.3236514108777,8.57426060407185,2.36370466840313,5.89460003016487,6.23740471606749,1.47207084468665,3.82197959904159,27.8585264365258,15.1731593299571,2.96688741721854,9.07002337358785,0,-9.28310965753167,0,94.7232309365935,0,33.7603653258654,50.2049916052006,460.113611444308,597.550144732868,2941.17647058824
"Mango","Fruits","Vitamin A-rich fruits","169910",60,14.98,1.6,0.14,0.07,0.21,0.09,54,36.4,0,0.9,0.03,0.04,0.67,0.12,43,0,7.6,0.16,0.09,11,168,10,1,0,0,0,0.11,0.02,0.03,0.05,0.07,0.01,0,0.03,0.01,0.02,0.03,0.04,0.3,48.6666666666667,25,0.1,0.44,"Q8","","Mangos, raw","Indonesia",0,0,38.3228096545185,23.1921826977779,32.3553680961546,10.2331453775534,4.57912661565306,7.95086587828842,5.29208100897405,2.36370466840313,4.09721596618274,5.37170176262455,1.80926430517711,3.5576348168766,27.714187374041,15.2781456953642,4.49668874172185,9.88741721854305,0,-9.5900530055261,0,94.5487560868214,0,24.5789776795801,44.6755320532178,517.061553346094,671.508510839083,1666.66666666667
"Papaya","Fruits","Vitamin A-rich fruits","169926",43,10.82,1.7,0.07,0.06,0.13,0.08,47,60.9,0,0.3,0.02,0.03,0.36,0.04,37,0,6.1,0.25,0.08,20,182,21,8,0,0,0,0.11,0.01,0.01,0.02,0.03,0,0,0.01,0.01,0.01,0.01,0.01,0.1,48.6666666666667,22.8,0.1,0.44,"Q8","","Papayas, raw","Indonesia",0,0,36.0950460323074,20.9453851766617,29.9979534990516,21.7066157535025,7.03502395486439,15.7935382263845,6.98895024508007,2.36370466840313,5.02645388119318,2.74774939986339,1.13487738419619,1.90790327734223,26.8133914445061,22.1681811181272,4.71523178807947,13.4417064531033,0,-6.47967679233642,0,96.3167775346774,0,27.4841977758773,47.5367665936224,485.939655876787,631.090462177645,2325.58139534884
"Tangerine","Fruits","Citrus","169105",53,13.3,1.8,0.06,0.07,0.13,0.04,34,26.7,0,0.2,0.06,0.04,0.38,0.08,16,0,10.2,0.15,0.07,37,166,12,2,0,0,0,0.11,0.01,0.02,0.03,0.03,0,0,0.02,0,0.02,0.02,0.02,0.16,48.6666666666667,10,0.1,0.44,"Q9","Phytate value for mandarin missing, used orange as a proxy","Tangerines, (mandarin oranges), raw","Indonesia",0,0,30.6642257221352,15.649904993639,24.3468211207894,15.0960626453186,6.08015116109241,11.5339653774129,5.85895963280081,2.36370466840313,4.40764949827834,3.42795362187531,1.33719346049046,2.34931377066881,27.0544129477713,19.1844308384356,4.93377483443709,12.0591028364363,0,-7.5423229703144,0,95.7127408827186,0,21.9635284606929,43.8348716135324,526.977704044848,684.386628629673,1886.79245283019
"Orange","Fruits","Citrus","169097",47,11.8,2.4,0.02,0.03,0.05,0.02,11,53.2,0,0.18,0.09,0.04,0.28,0.06,30,0,8.4,0.1,0.07,40,181,10,0,0,0,0,0.11,0.02,0.03,0.02,0.05,0.02,0.01,0.03,0.01,0.02,0.02,0.04,0.25,48.6666666666667,10,0.1,0.44,"Q9","","Oranges, raw, all commercial varieties","Indonesia",0,0,33.9325876126423,20.9171532741348,28.8437921907479,17.1575510098953,6.06018151240017,12.6834046562512,6.47925235188176,2.36370466840313,4.74733360634649,5.68482836280604,1.64066757493188,3.62992437362837,27.7536593347263,28.3411300549528,6.24503311258278,17.2930815837678,0,-4.97725649411676,0,97.170793617903,0,25.3720108918362,47.0731367327134,490.725743031836,637.306159781606,2127.65957446808
"Grapefruit","Fruits","Citrus","173033",32,8.08,1.1,0.01,0.02,0.04,0.01,46,34.4,0,0.13,0.04,0.02,0.25,0.04,10,0,7.7,0.09,0.07,12,139,8,0,0,0,0,0.11,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.13,48.6666666666667,20.36,0.1,0.44,"Q9","Phytate value for grapefruit missing; used phytate value for pomelo as a proxy","Grapefruit, raw, pink and red and white, all areas","Indonesia",0,0,34.9575688087062,15.660411848681,26.6142968242401,16.515636826748,3.58709113033774,10.9295590641664,9.04765189182634,2.36370466840313,6.15383811631613,4.45189237459143,1.23603542234332,2.81086133080075,27.3064298083879,19.4054221854305,3.40397350993377,11.4046978476821,0,-7.49725745101859,0,95.7383573352673,0,23.243014909385,44.6487115254766,517.372152762328,671.911886704322,3125
"Banana","Fruits","Other fruits","173944",89,22.8,2.6,0.03,0.07,0.11,0.11,3,8.7,0,0.1,0.03,0.07,0.67,0.37,20,0,9.8,0.26,0.15,5,358,27,1,0,0,0,0.05,0.08,0.03,0.07,0.05,0.01,0.01,0.05,0.01,0.01,0.03,0.05,0.38,48.6666666666667,22,0.1,0.44,"Q10.1","","Bananas, raw","Indonesia",0,0,20.4007695519899,14.8549322097866,18.5207074524005,14.408016292564,10.2928411522562,13.5184506580878,2.31524443584496,1.61986575836506,2.0597032015912,4.65514613449388,2.07901907356948,3.33415827101772,27.592163421639,16.6417888235732,6.68211920529801,11.6619540144356,0,-8.97450356117323,0,94.898650937231,0,19.6302676643855,41.9476045388859,550.686988063551,715.17790657604,1123.59550561798
"Guava","Fruits","Other fruits","173044",68,14.3,5.4,0.09,0.4,0.49,0.27,31,228.3,0,0.73,0.07,0.04,1.08,0.11,49,0,7.6,0.26,0.23,18,417,22,2,0,0,0,0.05,0.02,0.09,0.17,0.07,0.02,0.01,0.01,0.02,0.03,0.1,0.09,0.63,48.6666666666667,50.63,0.1,0.44,"Q10.1","For phytate: used an average of pink and white flesh guava","Guavas, common, raw","Indonesia",0,0,36.7335444986228,26.2881538359604,33.1491734688854,21.9053015829161,11.5521788466679,18.4487049488526,2.72142286456178,1.61986575836506,2.28213424588851,9.55593270426542,2.92200272479564,6.20702187729527,29.1608209762943,43.5194779898714,12.8013245033113,28.1604012465914,-2.54319974599898,-2.62354380996537,0,97.0630840784534,0,31.0151093648459,51.5649048410448,447.979106549476,581.791047466852,1470.58823529412
"Watermelon","Fruits","Other fruits","167765",127,7.55,0.4,0.04,0.05,0.09,0.02,28,8.1,0,0.05,0.03,0.02,0.18,0.05,3,0,4.1,0.24,0.1,7,112,10,1,0,0,0,0.05,0.01,0.02,0.02,0.06,0.01,0,0.02,0.01,0.01,0.03,0.02,0.19,48.6666666666667,3.9,0.1,0.44,"Q10.1","","Watermelon, raw","Indonesia",0,0,5.97342715205839,6.32450944593301,6.42544962031611,3.26371225271279,3.71300286839777,3.53920079274131,1.92170673063151,1.61986575836506,1.84419445826002,1.93388399737739,1.4383514986376,1.65262068420784,26.6740005707392,2.68639516086979,1.87417218543046,2.28028367315013,0,-19.4597947445585,0,88.9385295793618,0,7.05687539944765,31.1123407455538,742.470654616405,964.247603397928,787.40157480315
"Dragon fruit","Fruits","Other fruits","2344729",57,15.23,3.1,0.08,0.09,0.18,0.02,1,4.3,0,0.12,0.01,0.03,0.16,0.03,7,0,5.1,0.18,0.1,9,116,7,1,0,0,0,0.05,0.03,0.04,0.08,0.06,0.01,0.01,0.03,0.01,0.02,0.05,0.05,0.38,48.6666666666667,20.55,0.1,0.44,"Q10.1","","Dragon fruit","Indonesia",0,0,8.55839186837726,4.00012780717303,6.56273735225635,8.1571409921788,3.28866418841376,6.05543912798916,3.05362727702108,1.61986575836506,2.46405570985431,7.00691845246121,2.07901907356948,4.51044507264499,28.2344463249352,30.1199024050192,7.77483443708609,18.9473684210526,0,-4.97335171731356,0,97.1730131980001,0,9.12221322407089,37.5034556347351,615.943240670472,799.926286585028,1754.38596491228
